Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,r_yn,spark_yn,aws_yn,excel_yn
Data Scientist,$95K - $146K (Glassdoor est.),"Who We Are
Verily is a subsidiary of Alphabet that is using a data-driven approach to change the way people manage their health and the way healthcare is delivered. Launched from Google X in 2015, Our purpose is to bring the promise of precision health to everyone, every day. We are focused on generating and activating data from a variety of sources, including clinical, social, behavioral and the real world, to arrive at the best solutions for a person based on a comprehensive view of the evidence. Our unique expertise and capabilities in technology, data science and healthcare enable the entire healthcare ecosystem to drive better health outcomes.
Description
As a Data Scientist at Verily, you will apply your skills to perform complex analyses of large, diverse and complex data sets. In this position, you will bring analytical rigor and statistical methods to the challenges of predicting and measuring clinical outcomes and improving health care. To do this, you will deliver key analyses to inform product direction and build reusable analysis tools, working closely with software engineers, product managers and clinicians to deliver analytical models in user-facing products. These efforts combine structured and unstructured EHR data, claims data, traditional clinical and lab-based tests as well as sensor and behavioral data in an effort to change the way health is understood and treated.",3.9,"Verily
3.9","Cambridge, MA",1001 to 5000 Employees,2015,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,0,0,95,146,120.5,Verily, MA,8,0,0,0,0,0
Data Scientist,Employer Provided Salary:$58.00 - $67.00 Per Hour,"JOB RESPONSIBILITIES
Assess the feasibility and timeline of new initiatives requiring significant inventions.
Develop new algorithms or enhance existing algorithms for significantly improving the customer experience/impact.
Constantly focused on advancing the state-of-the-art for improving Client’s products and services.
Lead scoring, machine learning connect with business team, meeting stakeholders requirements to include in model design, pulling data with internal communication with BI, then try to make a prototype of model.
JOB REQUIREMENTS
Proficiency with Python",3.8,"Amazon Inc
3.8","Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),1,1,58,67,62.5,Amazon Inc, WA,29,1,0,0,0,0
Data Scientist or Bioinformatician (remote),Employer Provided Salary:$67K - $120K,"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.",4.0,"UT Southwestern Medical Center
4.0",Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,1,67,120,93.5,UT Southwestern Medical Center,Remote,80,0,0,0,0,0
Data Scientist,Employer Provided Salary:$88K - $110K,"We Are Overstock:
At Overstock.com, we believe that everyone should “Be You!”. Overstock is a community that upholds a culture of understanding, acceptance, and respect. We believe a person’s individuality is at the core of diversity, and those traits, beliefs, and characteristics should be valued and embraced. Living by this ethos is essential to the success of our business. Our goal is to foster a more diverse environment where every employee visibly demonstrates inclusive behaviors and respect for individuals.
This position is eligible for remote work. Currently we can hire employees in the following states: Arizona, California, Connecticut, Florida, Idaho, Kansas, Maine, Massachusetts, Michigan, Minnesota, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming. This role will have occasional on site expectations.",3.1,"Overstock.com Inc.
3.1",Remote,1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),0,1,88,110,99.0,Overstock.com Inc.,Remote,24,0,0,0,0,0
Data Scientist,$79K - $114K (Glassdoor est.),"Requisition Number: 92971
Employer: Insight Direct USA, Inc.
Position Location: Raleigh, NC
Position: Data Scientist

Job Duties:

Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software.









]]>",4.0,"Insight Enterprises, Inc.
4.0","Raleigh, NC",10000+ Employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),0,0,79,114,96.5,"Insight Enterprises, Inc.", NC,35,0,0,0,0,0
"Data Scientist, Analytics",Employer Provided Salary:$92K - $129K,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.


Data Scientist, Analytics Responsibilities:
Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.
Design and implement reporting dashboards that track key business metrics and provide actionable insights",3.9,"Meta
3.9","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,92,129,110.5,Meta, CA,19,0,0,0,0,0
Data Scientist,$86K - $121K (Glassdoor est.),"Overview
Trissential is a trusted partner for end-to-end quality services and management consulting. As a part of our parent company Expleo, we have a footprint in 30+ countries. Our Mission is to have a positive impact on every person who interacts with Trissential. Clients love us because we are service focused. Employees love us because they are valued and cared for.
Come join an experience. Add your talent to a team of forward-thinking game changers that make an impact by driving innovative solutions.
Trissential is currently seeking a Data Scientist to join our dynamic team Remotely.
Responsibilities",4.0,"Trissential
4.0","Minneapolis, MN",201 to 500 Employees,2003,Subsidiary or Business Segment,Business Consulting,Management & Consulting,$25 to $100 million (USD),0,0,86,121,103.5,Trissential, MN,20,0,0,0,0,0
Data Scientist (Remote),Employer Provided Salary:$89K - $151K,"About Transfix:
Transfix, named to Forbes' ""Next Billion-Dollar Startups"" list, is the leading transportation solutions provider whose digital brokerage marketplace and logistics software offerings are helping transform the $800 billion trucking industry. Since its founding in 2013, Transfix has been driven by a mission to deliver simple, smart, and sustainable solutions for shippers and carriers, powered by people and technology.
Here at Transfix, we are not only building incredible technology to help solve some of the world's biggest, most complex, and most important challenges in the freight and logistics industry; We are also helping protect our environment and are passionate about making the world a better place by increasing sustainability and eliminating the extreme amount of waste that currently exists in our industry.
By combining deep industry expertise and a best in class carrier network with cutting-edge technology, Transfix is reimagining the world of transportation. Transfix works with some of the largest Fortune 500 companies such as Staples, Unilever, Target and Wayfair rely on Transfix to handle their most important FTL freight needs. With instant pricing, algorithmic matching, superior service, and unmatched intelligence, Transfix is optimizing the supply chain from start to finish.",4.2,"Transfix
4.2","New York, NY",201 to 500 Employees,2013,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,0,1,89,151,120.0,Transfix, NY,10,0,0,0,0,0
Data Scientist,$83K - $122K (Glassdoor est.),"Looking for a Data Scientist
What you will be doing as a Data Scientist
· Responsible for gathering and assessing business information needs and preparing system requirements
· Performs analyses, development, and evaluation of data mining in a data warehouse environment which includes data design, database architecture, Meta data and repository creation.
· Uses data mining and data analysis tools. Reviews and validates data loaded into the data warehouse for accuracy
· Interacts with user community to produce reporting requirements",4.6,"GTA (Global Technology Associates)
4.6","Reston, VA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,83,122,102.5,GTA (Global Technology Associates), VA,2024,0,0,0,0,0
Data Scientist,Employer Provided Salary:$102K - $146K,"About the company
Albertsons Companies is at the forefront of the revolution in retail. With a fixation on innovation and building culture, our team is rallying our company around a unique vision: forging a retail winner that is admired for national strength, deep roots in the communities we serve, and a team that has passion for food and delivering great service.
Albertsons is one of the largest retail employers, providing approximately 300,000 jobs across 2,200 stores, 22 distribution centers, 20 food and beverage plants and various support offices. We operate in 34 states and the District of Columbia under the Albertsons banner, as well as Safeway, Tom Thumb, Jewel Osco, Shaw’s and many more recognizable names.
Albertsons Companies recently rolled out our Presence with a Purpose work model. Placing a premium on adaptability, safety and family well-being, Presence with a Purpose will help us build a hybrid work environment between remote work and office time. A one-size-fits-all approach does not apply to everyone, and teams are allowed to make decisions that are best for them.",3.4,"Albertsons
3.4","Pleasanton, CA",10000+ Employees,1939,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,1,102,146,124.0,Albertsons, CA,84,0,0,0,0,0
Data Scientist,$97K - $157K (Glassdoor est.),"Data Scientist
Burlingame, CA or Remote

Who we are
Focal Systems is the industry leader in retail AI solutions. We are a Silicon Valley based startup that has more than doubled in size every year since inception. Our mission is to automate and optimize brick and mortar retail using deep learning computer vision. We have been deployed at scale with the top retailers in the world. We are looking for smart, creative and passionate people who love to learn, enjoy thinking critically, and want to help build a great and enduring company!",4.4,"Focal Systems
4.4","Burlingame, CA",1 to 50 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),0,0,97,157,127.0,Focal Systems, CA,8,0,0,0,0,0
Data Scientist,$79K - $118K (Glassdoor est.),"Cortex Management LLC seeks Data Scientists in Irving, TX.
The Data Scientist is responsible for designing and delivering ever improving statistical models, analytical tools, and processes to maximize profitability and manage risk.
Duties and Responsibilities:
Design, develop, and validate statistical models and analysis while driving improvements to profitability and other key metrics.
Demonstrate superior analytical ability coupled with the desire and ability to execute on deliverables for real world business applications.
Development and enhancement of scoring models and other analytical decision technologies.
Identifying and systematically managing credit and fraud trends, forecasting, and analysis.",4.1,"Cortex Management, LLC
4.1","Irving, TX",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,79,118,98.5,"Cortex Management, LLC", TX,6,0,0,0,0,0
REMOTE: Data Scientist,Employer Provided Salary:$70K - $140K,"The Mental Wellbeing team leverages advanced analytics techniques, consulting approaches and healthcare expertise to power mental health innovation for our members and customers. Our over-arching goal is to deliver high quality mental wellbeing that a is tailored to our members clinical needs, and higher quality of care for a cheaper price. As a Data Scientist – Mental Wellbeing, you will be working with cross-functional experts across the mental wellbeing space including strategy, product, operations, sales, account management and with our clinical experts – to design, build and implement initiatives which enable smarter, self-service reporting and analytics for our largest clients. You will apply your experience in research, statistics, and modeling to solve complex problems that are top of mind of our mental wellbeing leaders.

Responsibilities:

Write complex SQL queries to extract data from SQL Server/Hadoop/GCP environments which will serve as underpinnings of ad-hoc and recurring analyses


The typical pay range for this role is:
Minimum: 70,000
Maximum: 140,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


2-3 years of experience in SQL working with big data platforms (e.g., HDP, AWS, GCP, etc.) and multiple data sources






Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1",Pennsylvania,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,70,140,105.0,CVS Health,Remote,60,0,0,0,1,0
Data Scientist (Remote),Employer Provided Salary:$79K - $138K,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Data Scientist (Remote)
Job Summary:
The Business Intelligence and Analytics team is looking for a curious and eager data scientist to join their team and provide statistical and mathematical support to analyze and interpret a wide range of data to provide customer solutions. Will work with various stakeholders to present and operationalize data to achieve actionable insights to drive customer strategy and decisions. Will apply intermediate-level analytic capabilities to solve complex business problems from a combination of unstructured, semi-structured, and structured data.
Not Applicable/None
This position is part of our Corporate team.
We’re driving the future of the national security and critical infrastructure markets. Our employees work in a close-knit team environment to find new, innovative ways to deliver smart solutions that are used and valued by customers around the world. By combining unique technologies with deep domain expertise across cybersecurity, missile defense, space, connected infrastructure, transportation, smart cities, and more, we're providing tomorrow's solutions today.
$79,100.00 - $138,400.00
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),0,1,79,138,108.5,Parsons,Remote,79,0,0,0,0,0
"Data Scientist, Product Analytics",Employer Provided Salary:$130K - $145K,"About Us:
Live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. To fulfill Gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.

With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket industry in order to move at the speed of life.

Job Description:
We are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. As a Senior Data Analyst, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. You will dive into user behavior data to provide insights which will impact major business decisions and own the maintenance of Gametime’s business intelligence reporting. The ideal candidate will be able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry.",4.5,"Gametime United, Inc.
4.5",Remote,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),0,1,130,145,137.5,"Gametime United, Inc.",Remote,10,0,0,0,0,0
"Data Scientist, IOC Analytics",$95K - $132K (Glassdoor est.),"Location: Integrated Operations Ctr (DFW-SV02)
Additional Locations: None
Requisition ID: 66912
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",3.8,"American Airlines
3.8","Dallas, TX",10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),0,0,95,132,113.5,American Airlines, TX,97,0,0,0,0,0
Data Scientist,Employer Provided Salary:$81K - $179K,"Work Mode:
Onsite
Responsibilities:
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.MS/PhD degree in a quantitative field - Computer Science, Operational Research, Mathematics, Statistics, Economics or related fields. Ph.D. with Strong publication record preferred;2.3+ years of experience of building machine learning models for business applications;3. Deep and extensive knowledge in one or more of the following areas: Deep Learning, Reinforcement Learning, Statistical Analysis, NLP, Computer Vision, Recommendation System, Big Data technologies, and any other data science related domains.4.Expert in statistical analysis (probabilities, hypothesis testing, multivariate analysis, time series analysis, generalized linear model, A/B experiments) ;5.Proficient in SQL and Python, Java, C++ or related programming languages;6.Experience with Big Data technologies such as Hadoop, Spark, Pig, Hive, etc. is preferred.7.Ability to understand complex subjects clearly and proposing actionable data-driven solutions to them. Good business acumen and communication skills is a plus.

California
The base pay range for this position in the state(s) above is $81,400 to $179,300 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,81,179,130.0,Tencent, CA,25,1,0,1,0,0
Data Scientist - AI/ML (remote),Employer Provided Salary:$110K - $159K,"JOB DESCRIPTION
Do you have a passion for machine learning / deep learning? Are you excited about using your skills to help individuals improve their health?

Our Data Science team applies Advanced Analytics, Artificial Intelligence and Machine Learning to produce solutions that reduce customer healthcare costs and improve outcomes and business processes.
ROLE SUMMARY

Your work will require deep acquaintance with MultiPlan’s data, seeking to find ways to deliver value through advanced feature engineering. From your models you will deliver actionable insights that can be incorporated into existing products as well as new programs. As a data scientist part of a cross functional team you will work closely with Data & Engineering to deliver production ready code that is robust and ready to scale.

The ideal candidate for this role will have strong coding skills (preferably in Python), a passion for creating technology to improve health care, and an attitude of creativity and continual learning.",3.8,"MultiPlan Inc.
3.8",Remote,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110,159,134.5,MultiPlan Inc.,Remote,43,1,0,0,0,0
Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Qualifications:

Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:",4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84,147,115.5,Noblis, VA,27,0,0,0,0,0
